church_name,church_url,city,state,size,denomination
12Stone Church,http://www.12stone.com,Lawrenceville,GA,17000,Wesleyan
3Circle Church,http://www.3circlechurch.com,Fairhope,AL,4962,"Independent, Nondenominational"
Abba’s House/Central Baptist,http://www.abbashouse.com,Hixson,TN,1750,Southern Baptist Convention
Abundant Faith Christian Center,http://www.abundantfaith.org,Springfield,IL,2900,Unknown (unspecified)
Abundant Life Baptist Church,http://www.abundantlifebaptist.com,Lee's Summit,MO,2000,"Independent, Nondenominational"
Abundant Life Cathedral Church,http://www.alcchurch.org/,Houston,TX,5000,"Independent, Nondenominational"
Abundant Life Christian Center,http://www.alcc.org,La Marque,TX,3000,"Independent, Nondenominational"
Abundant Life Christian Center,http://alcclife.org,East Syracuse,NY,2000,Pentecostal (unspecified)
Abundant Life Christian Fellowship,http://www.alcf.net,Mountain View,CA,4500,"Church of God, Anderson"
Abundant Life Church,http://coolchurch.com,Damascus,OR,2426,CHRISTIAN
Abundant Life Church of God,http://www.abundant-life.cc,San Antonio,TX,2000,"Church of God, Cleveland"
Abundant Life Family Worship Church,http://www.alfwc.org,New Brunswick,NJ,2200,"Independent, Nondenominational"
Abundant Living Faith Center,http://www.abundant.org,El Paso,TX,12400,"Independent, Nondenominational"
Abundant Living Family Church,http://www.alfconline.com,Rancho Cucamonga,CA,4000,"Independent, Nondenominational"
Abundant Living Ministries of Pembroke Pines,http://www.alm.org,Pembroke Pines,FL,2000,International Pentecostal Holiness Church
Abyssinian Baptist Church,http://www.abyssinian.org,Harlem,NY,4000,National Baptist Convention
Acts Full Gospel Church of God In Christ,http://www.actsfullgospel.org,Oakland,CA,6000,Church of God in Christ
Ada Bible Church,http://www.adabible.org,Ada,MI,7636,"Independent, Nondenominational"
Adventure Christian Church,http://adventurechurch.org,Roseville,CA,3659,CHRISTIAN
Agape Family Worship Center,http://www.agapecenter.org,Rahway,NJ,2500,"Independent, Nondenominational"
Agape International Center for Truth,http://www.agapelive.com,Culver City,CA,2500,Religious Science
Agincourt Pentecostal Church,http://www.apchurch.com,Toronto,ON,2200,Pentecostal Assemblies of Canada
Akron Baptist Temple,http://www.abtnet.org,Akron,OH,3000,"Independent, Nondenominational"
Alamo City Christian Fellowship,http://www.alamocity.org,San Antonio,TX,2125,Southern Baptist Convention
Alamo Heights United Methodist Church,http://www.ahumc.org,San Antonio,TX,1800,United Methodist Church
Alfred Street Baptist Church,http://www.alfredstreet.org,Alexandria,VA,2800,Baptist (unspecified)
