EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,zip5
010060379,HEALING AND DELIVERANCE MINISTRY INC,NA,14103 BYRNE PARK DR,CLARKSBURG,MD,20871-6337,0000,03,3,7000,201407,1,10,000000000,5,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20871
010549919,TIME OF GRACE MINISTRIES,% MIGUEL A ROMERO,501 ROSEMERE AVE,SILVER SPRING,MD,20904-3020,0000,03,3,7000,200406,1,10,000000000,1,01,202412,7,6,06,0,12,5045077,1258914,1258914,X21,NA,20904
010549978,THE PLAN MINISTRIES INC,% CARNAL BRADLEY PASTOR,5611 LANIER AVE,SUITLAND,MD,20746-6216,0000,03,3,1000,200207,1,10,000000000,1,01,NA,1,2,06,0,12,NA,NA,NA,X20,NA,20746
010552565,PATAPSCO VALLEY COMMUNITY CHURCH,NA,PO BOX 797,CROWNSVILLE,MD,21032-0797,1601,03,9,7000,196310,1,10,029002000,5,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,21032
010562898,SOLID UNION MINISTRIES INC,% WESLEY ROBERSON,3001 GOLD MINE RD,BROOKEVILLE,MD,20833-2619,0000,03,3,7000,200203,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20833
010572203,CHESAPEAKE PRESBYTERY,% REV DON DOVE,440 DARLINGTON RD,HVRE DE GRACE,MD,21078-1014,8534,03,9,7000,197404,0,10,001000000,1,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,21078
010575722,CHRIST DEAF LUTHERAN CHURCH,% RONALD FRIEDRICH,9545 GEORGIA AVE,SILVER SPRING,MD,20910-1438,1709,03,9,7000,194107,1,10,001029000,5,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,20910
010576963,LA PLATA CHURCH OF CHRIST,% WILLIAM L NEEL,PO BOX 928,LA PLATA,MD,20646-0928,0000,03,3,7000,200206,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20646
010577111,CHIN BAPTIST MISSION CHURCH,% REV DR C DUH KAM,5604 JOHNNYCAKE RD,GWYNN OAK,MD,21207-4743,1961,03,9,7000,196811,1,10,029000000,5,01,202412,6,6,06,0,12,2876599,1034272,1034272,NA,NA,21207
010582722,316 LOVE CHURCH INC,% THUONG L NGUYEN,6333 AUBURN AVE,RIVERDALE,MD,20737-1612,0000,03,3,7000,200305,1,10,000000000,1,01,202412,5,4,06,0,12,665794,103537,103537,X21,NA,20737
